name,cmc,release_year,price,color,image,type_line,artist
Copy Artifact,2,1993,2000.0,#341aff,https://cards.scryfall.io/normal/front/f/d/fd5ed955-1193-4e6a-a3e2-f54c1f9bf063.jpg?1559591569,Enchantment,Amy Weber
Deathlace,1,1993,55.14,#000000,https://cards.scryfall.io/normal/front/6/f/6ff1cefc-62cb-4525-b0c5-2b09603b4314.jpg?1559591710,Instant,Sandra Everingham
Farmstead,3,1993,150.0,#ffffff,https://cards.scryfall.io/normal/front/3/4/3455b006-9ea5-4aef-8ad2-d0701eb0cacf.jpg?1559591597,Enchantment — Aura,Mark Poole
Fungusaur,4,1993,299.99,#087500,https://cards.scryfall.io/normal/front/5/a/5ad89f0d-b09b-40a0-84d6-3ee60dec7e23.jpg?1559591468,Creature — Fungus Dinosaur,Daniel Gelon
Gaea's Liege,6,1993,299.26,#087500,https://cards.scryfall.io/normal/front/e/2/e2b15221-c8b0-4861-9f8b-8a65834ad499.jpg?1559591575,Creature — Avatar,Dameon Willich
Goblin King,3,1993,497.99,#ff1a1a,https://cards.scryfall.io/normal/front/5/8/5873672d-37ea-4c0f-97f3-12b74fde112d.jpg?1559591689,Creature — Goblin,Jesper Myrfors
Jayemdae Tome,4,1993,600.0,#8c8d8b,https://cards.scryfall.io/normal/front/c/a/cac8c421-5b92-481d-b2de-560c0231ab58.jpg?1559591654,Artifact,Mark Tedin
Kormus Bell,4,1993,128.26,#8c8d8b,https://cards.scryfall.io/normal/front/3/f/3f4ef7a1-148d-44ac-89ed-0ef379cca0c6.jpg?1559591525,Artifact,Christopher Rush
Magical Hack,1,1993,600.0,#341aff,https://cards.scryfall.io/normal/front/2/b/2bd4202c-0477-45aa-82fd-83c85d6d4bef.jpg?1559591642,Instant,Julie Baroh
Mind Twist,1,1993,1100.0,#000000,https://cards.scryfall.io/normal/front/e/e/eee9e106-a248-49d2-b8c8-6bbcd56ce739.jpg?1559591498,Sorcery,Julie Baroh
Nightmare,6,1993,796.06,#000000,https://cards.scryfall.io/normal/front/b/8/b8cdd6a7-f772-4ccb-914f-63f52ed54d6b.jpg?1559591333,Creature — Nightmare Horse,Melissa A. Benson
Pirate Ship,5,1993,380.0,#341aff,https://cards.scryfall.io/normal/front/d/0/d0a7cb23-d229-43c5-addd-dcf423984b0c.jpg?1559591349,Creature — Human Pirate,Tom Wänerstrand
Stasis,2,1993,1145.89,#341aff,https://cards.scryfall.io/normal/front/b/6/b6cef408-5b4b-49f6-9531-be544815b93f.jpg?1559591484,Enchantment,Fay Jones
Sunglasses of Urza,3,1993,320.62,#8c8d8b,https://cards.scryfall.io/normal/front/c/0/c0d433a4-76c0-4f27-836d-4c0c13a511fb.jpg?1559591448,Artifact,Dan Frazier
Thoughtlace,1,1993,140.0,#341aff,https://cards.scryfall.io/normal/front/2/3/23749375-1416-47a4-9251-52f41fe2fae9.jpg?1559591638,Instant,Mark Poole
Timber Wolves,1,1993,399.99,#087500,https://cards.scryfall.io/normal/front/b/c/bc2570a4-eef9-430d-b6c2-cd51d29b9d01.jpg?1559591447,Creature — Wolf,Melissa A. Benson
Timetwister,3,1993,0.15,#341aff,https://cards.scryfall.io/normal/front/9/a/9a49dc44-616e-4bdd-8220-0bb71eccc512.jpg?1559591443,Sorcery,Mark Tedin
Two-Headed Giant of Foriys,5,1993,259.46,#ff1a1a,https://cards.scryfall.io/normal/front/3/1/31c687dc-ee0c-4e54-a2b3-5d8e633b3245.jpg?1559591539,Creature — Giant,Anson Maddocks
Vesuvan Doppelganger,5,1993,49.49,#341aff,https://cards.scryfall.io/normal/front/7/6/768f3a05-bd06-4a23-b9f2-94f6e618fd9f.jpg?1559591338,Creature — Shapeshifter,Quinton Hoover
Warp Artifact,2,1993,205.0,#000000,https://cards.scryfall.io/normal/front/9/e/9e5e07a2-fbdf-4c4c-996a-fce40bab5de5.jpg?1559591435,Enchantment — Aura,Amy Weber
Zombie Master,3,1993,399.0,#000000,https://cards.scryfall.io/normal/front/3/d/3d4255a0-d445-4c00-b936-bbf07851e1c8.jpg?1559591430,Creature — Zombie,Jeff A. Menges
